,CompanyName,ReviewDate,ReviewContent,StarRating,ReviewType,Metadata
65ba69e3aeed02f4c77b0747,playlistbooker,2024-01-31 17:40:19,"Tracks Removed from Spotify and others: Two tracks with an algorithm campaign, two tracks removed from Spotify and all platforms due to fraudulent promotion.That's the best I can say. Explanation requested. They offer me... silence.",1,Trustpilot,"{'ExperienceDate': 'January 30, 2024', 'AuthorName': 'J. Carlos L', 'AuthorCountry': 'ES', 'AuthorReviews': 9, 'ProfileLink': 'https://www.trustpilot.com/users/58d8e2fc0000ff000a85e9e2', 'ReviewLink': 'https://www.trustpilot.com/reviews/65ba69e3aeed02f4c77b0747'}"
65ac105042c46d156206f55c,playlistbooker,2024-01-20 20:26:24,I ordered the service from Playlist…: I ordered the service from Playlist Booker and was flagged by Spotify almost immediately for using fake streams. It’s interesting that my Spotify monthly listeners continue to increase even though the music is no longer available on Spotify. Now I have to take my music down and then have my distributor put it back up. What a hassle and definitely not worth the $. These guys use fake streams!,1,Trustpilot,"{'ExperienceDate': 'January 17, 2024', 'AuthorName': 'Tim Ufkes', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65ac10434a8bb50012603930', 'ReviewLink': 'https://www.trustpilot.com/reviews/65ac105042c46d156206f55c'}"
65a42af39a113481f71bf613,playlistbooker,2024-01-14 20:41:56,"DONT! STAY AWAY!: My single was taken down by Spotify as a result of PlaylistBooker reckless and unsafe practices.No meaningful communication, not answering questions. Stay away!",1,Trustpilot,"{'ExperienceDate': 'January 11, 2024', 'AuthorName': 'Dr Paul Antseliovich', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65a086f59a9fec00123425a7', 'ReviewLink': 'https://www.trustpilot.com/reviews/65a42af39a113481f71bf613'}"
6581a726e2d7bcffa851c5ef,playlistbooker,2023-12-19 16:22:31,DO NOT USE PLAYLISTBOOKER!!!!: DO NOT USE PLAYLISTBOOKER!!!!! ITS ALL FAKE STREAMS!!!! YOUR SONG WILL GET PULLED!!!! YOU WILL LOSE YOUR MONEYDO NOT USE PLAYLISTBOOKER!!!!! ITS ALL FAKE STREAMS!!!! YOUR SONG WILL GET PULLED!!!! YOU WILL LOSE YOUR MONEYDO NOT USE PLAYLISTBOOKER!!!!! ITS ALL FAKE STREAMS!!!! YOUR SONG WILL GET PULLED!!!! YOU WILL LOSE YOUR MONEY,1,Trustpilot,"{'ExperienceDate': 'October 19, 2023', 'AuthorName': 'SpotifyArtist', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6581a70aea18f80012ad16e9', 'ReviewLink': 'https://www.trustpilot.com/reviews/6581a726e2d7bcffa851c5ef'}"
6571e4f220d978adb231a0a9,playlistbooker,2023-12-07 17:29:54,"I paid for the Algorithmic Bronze…: I paid for the Algorithmic Bronze package on June 18, 2023 and at first I was pleased with the results. It took a VERY long time, but got on the algorithmic playlists and the streams were steady. However, last week Spotify issued a strike on my account (through my distributor) and let me know these were bots and if I don't stop they will pull down all my music! Completely wasted my money and jeopardized everything I've been building on Spotify. It is not worth it, stay far away! I had wrongly assumed they would use Meta ads to trigger the algorithm playlists, but it sounds like they just use botted accounts to do it. The website promises they don't use bots and I foolishly trusted them. Lesson learned and at least Spotify didn't pull down my music and instead gave me a stern warning.",1,Trustpilot,"{'ExperienceDate': 'December 01, 2023', 'AuthorName': 'Tony Venuto', 'AuthorCountry': 'US', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/64a87ca22188510012f61da4', 'ReviewLink': 'https://www.trustpilot.com/reviews/6571e4f220d978adb231a0a9'}"
656bac6ab9cb79b2db1c81a6,playlistbooker,2023-12-03 00:15:06,"Fake Playlists: Been using company for years, but no moreStreams from playlists are not what it used to beValue + Quality has gone way downRecently, ordered playlist campaign & it got my Spotify account flagged for songs that I promoted through them so this tells me its all fake playlists & botsCustomer service is unresponsive & nonexistentThey continue to tell me its all ""real organic"" promoRefund seems impossible considering they take no blame for anything & nothing is ever their faultWould highly not recommend Still waiting on response....",1,Trustpilot,"{'ExperienceDate': 'November 14, 2023', 'AuthorName': 'Spencer', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/656bac53a142c00012561194', 'ReviewLink': 'https://www.trustpilot.com/reviews/656bac6ab9cb79b2db1c81a6'}"
6554f2435e607543a70f5c6c,playlistbooker,2024-01-11 16:15:12,"I ordered an algorithmic 7-10k plays…: I ordered an algorithmic 7-10k plays package saw very little to no results for a few months. Then suddenly algorithmic plays started jumping and have continued to roll. It is very hard to tell what is organic and what is from their work, but based on the number of followers I was getting during the period of most growth it looks to be a result of their work. I wish they were more available to communicate, which is why I am rating 4 stars.",4,Trustpilot,"{'ExperienceDate': 'November 15, 2023', 'AuthorName': 'Moses Sedler', 'AuthorCountry': 'US', 'AuthorReviews': 3, 'ProfileLink': 'https://www.trustpilot.com/users/644709531b93910012ad5215', 'ReviewLink': 'https://www.trustpilot.com/reviews/6554f2435e607543a70f5c6c'}"
652d8acacaf29e604aef49d5,playlistbooker,2023-10-16 21:11:06,"They deliver what i paid for, but it takes long: I made 3 orders with playlistbooker so far, all of them was for the algo package.I had 2 for their bronze package (15-20k play advertised).My orders received 16k and 22k play, so i get what i paid for.My 3rd order was for their Silver package (25-30k play) which is still in progress, currently at 19k.It took them a little over 2 month to reach the 20k range, as my song was only getting around 250-450 daily.Basically I'm getting what i paid for, but they could do it a bit faster..",4,Trustpilot,"{'ExperienceDate': 'August 04, 2023', 'AuthorName': 'Kathleen Perrott', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/652d8ab7cb54a900119e79a5', 'ReviewLink': 'https://www.trustpilot.com/reviews/652d8acacaf29e604aef49d5'}"
652d44c2d66d3f36447a71af,playlistbooker,2023-10-16 16:12:18,"Payed for 20,000 streams: Payed for 20,000 streams, got 5,000. Support doesn't answer emails. At one point they promised to restart the campaign but there were no additional streams. No reputable company treats people like this.",1,Trustpilot,"{'ExperienceDate': 'October 16, 2023', 'AuthorName': 'Michael Macrides', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/652d44b8cb54a900119e4713', 'ReviewLink': 'https://www.trustpilot.com/reviews/652d44c2d66d3f36447a71af'}"
6512eee72531a5dd57c709a5,playlistbooker,2023-09-26 16:47:03,"Ordered the Spotify Algorithmic Package…: Ordered the Spotify Algorithmic Package starter the 17th of August. So far I've not gotten anything from them. Today is the 26th of September,Have written several e-mails and showed them screenshots from ""Spotify for artists"" where they can see that nothing is happening. They are just telling me it will pick up soon, this company is a scam, DON'T USE THEM, you will only loose money. It is sad cause I've ordered other packages with them in the past that seemed to be working. I would have liked to give them 0 stars here if it was possible.",1,Trustpilot,"{'ExperienceDate': 'August 17, 2023', 'AuthorName': 'Nils Malmport', 'AuthorCountry': 'BE', 'AuthorReviews': 10, 'ProfileLink': 'https://www.trustpilot.com/users/61e416bffc871a0012be9338', 'ReviewLink': 'https://www.trustpilot.com/reviews/6512eee72531a5dd57c709a5'}"
6509132803bb0ab807aaaeba,playlistbooker,2023-09-19 05:19:04,They use Bots that will overall hurt…: They use Bots that will overall hurt your Spotify profile. After using them for years – they're ignoring my emails and providing no support. I had 10k followers and then it dropped down 3k overnight as Spotify identified them as fake follows.,1,Trustpilot,"{'ExperienceDate': 'September 19, 2023', 'AuthorName': 'Jerry Dibbs', 'AuthorCountry': 'AU', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6509131cb2758f001106228f', 'ReviewLink': 'https://www.trustpilot.com/reviews/6509132803bb0ab807aaaeba'}"
650872c76792edb089dab19c,playlistbooker,2023-09-18 17:54:47,"ALGORITHM PLAY SERVICE: Their algorithm plays service is fraudulent. They take your money and do nothing. I have repeatedly asked for a refund because of this, and they do not respond. DO NOT USE THESE SCAM ARTISTS!",1,Trustpilot,"{'ExperienceDate': 'September 18, 2023', 'AuthorName': 'Jesse', 'AuthorCountry': 'CA', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/650872b1fb5faa0012097972', 'ReviewLink': 'https://www.trustpilot.com/reviews/650872c76792edb089dab19c'}"
650220a7bfa0429a397d1d5c,playlistbooker,2023-09-13 22:50:47,Scammers.: This company or whatever it is is a waste of money run by unprofessionals who lack knowledge. The results are unsatisfactory and most emails are not returned. They just take your money and pretend they are doing the work. Full of scams. Do not waste your money.,1,Trustpilot,"{'ExperienceDate': 'September 12, 2023', 'AuthorName': 'Don’t Matter', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6502206ce7d88400119963b2', 'ReviewLink': 'https://www.trustpilot.com/reviews/650220a7bfa0429a397d1d5c'}"
