,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65b39af3da85fe63487b9e2f,5,wowww soo good yeahh amazing,,2024-01-26T13:43:48.000Z,"January 26, 2024",Arie Fitri,1,ID,https://www.trustpilot.com/reviews/65b39af3da85fe63487b9e2f,https://www.trustpilot.com/users/65b39aeb7f369e001179a92f
65b39928b422404d251323a4,5,I guess this is amazing,I guess this is amazing. Go check this out!,2024-01-26T13:36:09.000Z,"January 26, 2024",vibes heaven,1,ID,https://www.trustpilot.com/reviews/65b39928b422404d251323a4,https://www.trustpilot.com/users/65b3991d8f8de10012591719
65b3987bcd04d5b9e6a8034c,5,Lets keep up🚀🚀,,2024-01-26T13:33:16.000Z,"January 26, 2024",Jisung Jevian,1,ID,https://www.trustpilot.com/reviews/65b3987bcd04d5b9e6a8034c,https://www.trustpilot.com/users/65608e405f1f1b001277281e
65b3979082a5d58ce7f057eb,5,Nice project,,2024-01-26T13:29:21.000Z,"January 25, 2024",Fitri Vitamiasari,1,ID,https://www.trustpilot.com/reviews/65b3979082a5d58ce7f057eb,https://www.trustpilot.com/users/65b3978030f32b0012481d8a
65b3975520f91c1b5b32800c,5,It's one of the best projects.,,2024-01-26T13:28:22.000Z,"January 26, 2024",emilyan,2,TR,https://www.trustpilot.com/reviews/65b3975520f91c1b5b32800c,https://www.trustpilot.com/users/6447d785c4e6650012f1db85
65b396de6c6593c02c69fa40,5,This is so usefull for more something,,2024-01-26T13:26:23.000Z,"January 26, 2024",Shasa Yayaa,1,ID,https://www.trustpilot.com/reviews/65b396de6c6593c02c69fa40,https://www.trustpilot.com/users/654019a8eb9f660011d27cc9
65b394b4c35038f325ba7099,5,Good luck for you’re project,,2024-01-26T13:17:09.000Z,"January 26, 2024",Maryadi Kusumo,1,ID,https://www.trustpilot.com/reviews/65b394b4c35038f325ba7099,https://www.trustpilot.com/users/65b3947630f32b0012481afb
65b3940155bbf5b9c51cb0d1,5,I have good experience with this company,,2024-01-26T13:14:09.000Z,"January 05, 2024",RQ Team Global,2,ID,https://www.trustpilot.com/reviews/65b3940155bbf5b9c51cb0d1,https://www.trustpilot.com/users/64be6216b75ab30012f7b9dc
65b393e30ed7f25a298f177e,5,This is a great platform to appreciate…,This is a great platform to appreciate many upcoming musicians,2024-01-26T13:13:39.000Z,"January 01, 2024",Suman,2,IN,https://www.trustpilot.com/reviews/65b393e30ed7f25a298f177e,https://www.trustpilot.com/users/60056998046675001a6b9a27
65b3915e304dabc51989c164,5,love this apk ❤️ thanks for making…,love this apk ❤️ thanks for making amazing aplication 😫❤️✨️,2024-01-26T13:02:55.000Z,"January 26, 2024",mark hyuck,1,ID,https://www.trustpilot.com/reviews/65b3915e304dabc51989c164,https://www.trustpilot.com/users/65b39147f7ea3e0012983ae2
65b38c3dc275352b631f3773,5,wow so great,wow so great! good luck,2024-01-26T12:41:02.000Z,"January 26, 2024",Ade Putri,1,ID,https://www.trustpilot.com/reviews/65b38c3dc275352b631f3773,https://www.trustpilot.com/users/65b38c297f369e0011799d6a
65b38bae962d7c244014b7db,5,wow amazing 🤩,,2024-01-26T12:38:38.000Z,"January 26, 2024",kale ale,1,ID,https://www.trustpilot.com/reviews/65b38bae962d7c244014b7db,https://www.trustpilot.com/users/65b38ba37f369e0011799d0b
65b38a1036955ed388dd3b9e,5,Very good music,"Very good music, enthusiastic work!!",2024-01-26T12:31:44.000Z,"January 26, 2024",Kim Minho,1,ID,https://www.trustpilot.com/reviews/65b38a1036955ed388dd3b9e,https://www.trustpilot.com/users/65b389fd37269b00128906c0
65b389cd2f757e80c9adc2f5,5,It' amazing project,,2024-01-26T12:30:37.000Z,"January 26, 2024",Rutupan Behera,1,IN,https://www.trustpilot.com/reviews/65b389cd2f757e80c9adc2f5,https://www.trustpilot.com/users/65b389b1a052ec00121781a1
