place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,83148dec195f919eb4d8882d06e4105e,5,"Fantastic, intimate place to see music.  Great place!!",a year ago,2023-03-29 13:03:50.635512,,,,0,113,15,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,36ed0e76024625f92470d95014f47f01,1,"They require Covid vaccine and to be masked, but no surprise ..Its California",a year ago,2023-03-29 13:03:50.638097,,,,0,188,66,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,3281192145a04bc909dc840080d78648,5,This place is a gem  Great music & good tapas.  Intimate atmosphere.  Super friendly staff.  Would highly recommend.,a year ago,2023-03-29 13:03:50.640407,Thank you very much! Hope to see you again soon,a year ago,2023-03-29 13:03:50.640407,1,112,31,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,adda6beccfee8b25b0a6f428714d5e4c,5,Super cozy and friendly live music spot.,a year ago,2023-03-29 13:03:50.643153,,,,0,76,82,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,e7f2f351821acc241dc100938175ef84,5,The Ray Obideo performance was nice and Im in love with the small intimate venue!,a year ago,2023-03-29 13:03:50.645416,,,,0,155,551,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,411cc3ecce5f5baaaa9b23504f76a29a,5,"What an incredible experience! I felt so refreshed and lite afterwards and plan to return regularly. Great to align yourself and clear out negative energy. Lisa is wonderful, supportive, and knowledgeable. You cant beat the price for an hour session and you are worth it.",a year ago,2023-03-29 13:03:51.138772,,,,2,8,2,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,316d904a1926429fe04ca83518df674f,5,,a year ago,2023-03-29 13:03:51.142398,,,,0,14,37,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,00ef74fa69f983a341cf697f0ae0575d,5,,a year ago,2023-03-29 13:03:51.145680,,,,0,,,,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,de73f3bfa3fd9af1d1592b921540a2c1,5,Amazing venue artists and staff!!!,a year ago,2023-03-29 13:03:51.148335,,,,1,66,88,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,29a6aae63a15c1b68d59ca0f89fe8de4,5,,a year ago,2023-03-29 13:03:51.151018,,,,0,106,8,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,fc9adcd035ebe6b68b407a2f96bad072,5,Amazing show Highly recommend,2 years ago,2022-03-29 13:03:51.153520,,,,0,25,5,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,bbdfc3b91ffeaf0b98962c981a243f7c,5,Great local venue! I went to see David Gerard and his amazing Magic Show!,2 years ago,2022-03-29 13:03:51.156294,,,,1,18,60,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,4ee05eeda2a7bb4774d204d4e92faf23,5,Top-flight music in a great new space with solid drinks.,2 years ago,2022-03-29 13:03:51.158688,,,,0,459,18,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,5c00885abb9689ac6b2f7a883c15889e,5,"As usual, fabulous music, food and drinks. Getting home to San Francisco on public transportation was not fun, however. Still a pandemic, I guess.",2 years ago,2022-03-29 13:03:51.161003,,,,0,62,1,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,957406ca703917699688bb4781105c11,5,"The Best, people, music, atmosphere, food and drink, all in one truly special place, in Oakland ...   If you want to have a rare and wonderful experience go see for yourself ...  Get  there early for a good seat, a glass of wine, or beer, and some great treats ...",2 years ago,2022-03-29 13:03:51.163389,,,,0,2,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,92385ec6616b8c210c53d4d1da6c7596,5,"This is THE   local place to be with jazz, blues, flamenco, et al unique to Oakland. Fab new site, awesome lineup (with an emphasis on East Bay talent) and the food is a-m-a-z-i-n-g.",2 years ago,2022-03-29 13:03:51.675147,,,,4,357,809,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,646bbc9229f2a7a3cb544790ae032a8a,5,Fun intimate venue,2 years ago,2022-03-29 13:03:51.678040,,,,0,229,78,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,9d15c8484c5251a0372a76ee0ac9c931,5,,2 years ago,2022-03-29 13:03:51.680882,,,,0,4,30,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,48d8b81137e5ffd16b273e6068388e96,5,Great venue with fabulous musicians! You can order food and nice wine. I love the ambiance and the crowd.,2 years ago,2022-03-29 13:03:51.683397,,,,1,19,14,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,c045cea295ab46d4869fb2c82378bbae,4,,2 years ago,2022-03-29 13:03:51.686399,,,,0,19,,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,056dc8933756b5e93d845e9a7e8524e3,5,,2 years ago,2022-03-29 13:03:51.688913,,,,0,2,13,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,db1e43c4c888679e8f0e0748eef3daca,5,"Such a hidden gem, love this spot for date night and makes a great gift to friends, family, and colleagues. Would recommend arriving early for good seats and to get their yummy sangria and other small bites that are top notch.",4 years ago,2020-03-29 13:03:51.691417,,,,0,40,52,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,20ca47f11b75537027f7a66e5e484136,5,,4 years ago,2020-03-29 13:03:51.694554,,,,0,31,10,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,6a7e672867f5813d64a0ce88f5e6dfd1,5,,4 years ago,2020-03-29 13:03:51.697061,,,,0,5,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,ca86b21a9531b989ebc4215e99aa8d78,5,,4 years ago,2020-03-29 13:03:51.699190,,,,0,30,411,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,054fa00139db393a8c0c3d8a3496b0c1,5,"Nonprofit venue hosting great music. Intimate performance area, friendly staff and reasonably priced refreshments.",4 years ago,2020-03-29 13:03:52.197523,,,,0,111,,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,6055a208a3fa267edbf406fb38126c11,4,Very intimate space for music which was very nice.  Food is good and the owners are very attentive.,4 years ago,2020-03-29 13:03:52.199272,,,,0,155,36,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,53a203f4fe18961019e1455e32ddf107,5,,4 years ago,2020-03-29 13:03:52.200864,,,,0,7,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,1a23254352fa06ba7dce77e64c7ce732,4,Great BNI meeting,4 years ago,2020-03-29 13:03:52.202104,,,,0,25,52,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,d486f33bb3fef9d33dcfe5af4770c3cf,5,,4 years ago,2020-03-29 13:03:52.203586,,,,0,1,4,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,821416739c1912b26b38db7fe826dade,5,Nice experience! It was my first time watching a live band play.,4 years ago,2020-03-29 13:03:52.204982,,,,0,95,43,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,3024656bfd28e21d8f64b63118aeaf44,5,"The Sound Room is a quaint, cozy little venue located in the heart of Oakland that has great acoustics. Its the perfect locale for when you want to get out for the evening to unwind and chill away from the masses of people.  I should also mention that the food and drinks were delicious and reasonably priced. I hope to frequent the Sound Room in the near future (or whenever Marina Crouse and the band are playing there). Cheers!",4 years ago,2020-03-29 13:03:52.206611,,,,3,105,243,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,5b1618927bf0d782ef9fda56e5c5929d,5,Staff & ambiance was Great & Intimate,4 years ago,2020-03-29 13:03:52.208253,,,,0,27,3,True,,
